Global_Rank,Molecule_ID,CAS,SMILES,Formula,MW,LogP,TPSA,HBD,HBA,RotB,AromRings,Rings,FracCsp3,HeavyAtoms,N_Halogen,N_ToxAlerts,Tox_Alerts,S_efficacy,S_safety,S_total,Duplicate_IDs
1,T10732,113932-41-5,CCOC(=O)C(C(=O)O[C@H]1C[C@H]2CC[C@@H](C1)[N+]2(C)C)c1ccccc1,C20H28NO4+,346.45,2.65,52.6,0,4,5,1,3,0.6,25,0,0,none,1.0,1.0,1.0,T10732
2,TN7150,56402-79-0,COc1ccc(NC(=O)Nc2ccc(OC)cc2OC)c(OC)c1,C17H20N2O5,332.36,3.37,78.05,2,5,6,2,2,0.235,24,0,0,none,1.0,1.0,1.0,TN7150
3,T67952,2417988-00-0,COc1ccc(CN=C(C)c2c(O)c3ccccc3oc2=O)cc1,C19H17NO4,323.35,3.52,72.03,1,5,4,3,3,0.158,24,0,0,none,0.9999,1.0,1.0,T67952
4,T23003,1443118-44-2,COc1ccc(C#Cc2ccc(C(=O)N3CCC[C@@H](O)C3)c(F)c2)cc1,C21H20FNO3,353.39,2.83,49.77,1,3,2,2,3,0.286,26,1,0,none,1.0,1.0,1.0,T23003
5,T2A2486,53350-26-8,COc1cc(OC)c2c(=O)cc(-c3cc(OC)c(OC)c(OC)c3)oc2c1,C20H20O7,372.37,3.5,76.36,0,7,6,3,3,0.25,27,0,0,none,1.0,1.0,1.0,T2A2486
6,T38367,1208549-68-1,O=C(Nc1ccc(OC(F)(F)F)cc1)NC1CCN(C(=O)C2CC2)CC1,C17H20F3N3O3,371.36,3.11,70.67,2,3,4,1,3,0.529,26,3,0,none,1.0,1.0,1.0,T38367
7,T0151,119-41-5,CCOC(=O)COc1ccc2c(=O)cc(-c3ccccc3)oc2c1,C19H16O5,324.33,3.4,65.74,0,5,5,3,3,0.158,24,0,0,none,1.0,1.0,1.0,T0151
8,T60023,58125-33-0,N#Cc1c(NC(=O)CN2CCCCC2)sc2c1CCCC2,C16H21N3OS,303.43,2.92,56.13,1,4,3,1,3,0.625,21,0,0,none,1.0,1.0,1.0,T60023
9,T16528,942289-87-4,Nc1ccc(-c2cccc3c(=O)cc(N4CCOCC4)oc23)cc1,C19H18N2O3,322.36,2.88,68.7,1,5,2,3,4,0.211,24,0,0,none,1.0,1.0,1.0,T16528
10,T73772,1240-04-6,C[C@]12CC[C@@H]3c4ccc(OS(=O)(=O)O)cc4CC[C@H]3[C@@H]1CCC2=O,C18H22O5S,350.44,3.29,80.67,1,4,2,1,4,0.611,24,0,0,none,1.0,1.0,1.0,T0345;T36857;T36857L;T73772
11,T4140,1820787-94-7,N#Cc1ccc2ncnc(N[C@H]3CC[C@H](N4CCOCC4)CC3)c2c1,C19H23N5O,337.43,2.56,74.07,1,6,3,2,4,0.526,25,0,0,none,1.0,1.0,1.0,T4140
12,T1286,1617-90-9,CC[C@]12CCCN3CCc4c(n(c5ccccc45)[C@@](O)(C(=O)OC)C1)[C@@H]32,C21H26N2O3,354.45,2.95,54.7,1,4,2,2,5,0.571,26,0,0,none,1.0,1.0,1.0,T1286
13,T23470,1135210-68-2,CCCCNc1c(C(=O)OCC)c(C)nc2c1cnn2CC,C16H24N4O2,304.39,3.15,69.04,1,5,7,2,2,0.562,22,0,0,none,1.0,1.0,1.0,T23470
14,T5S0777,104112-82-5,COc1cc2c(cc1O)C[C@H]1c3cc(O)c(OC)cc3CC[N+]1(C)C2,C20H24NO4+,342.42,2.92,58.92,2,4,2,2,4,0.4,25,0,0,none,1.0,1.0,1.0,T5S0777
15,T2919,607-80-7,c1cc2c(cc1[C@H]1OC[C@H]3[C@@H]1CO[C@@H]3c1ccc3c(c1)OCO3)OCO2,C20H18O6,354.36,3.22,55.38,0,6,2,2,6,0.4,26,0,0,none,1.0,1.0,1.0,T2919
16,T60675L,,CC(C)CNC(=N)NC(=N)Nc1ccc(C(F)(F)F)cc1,C13H18F3N5,301.32,2.82,83.79,5,2,3,1,1,0.385,21,3,0,none,1.0,1.0,1.0,T60675L
17,T11329,2225728-57-2,CC1(C)c2cccc(C(=O)NO)c2CN1c1cnc(C(F)(F)F)cn1,C16H15F3N4O2,352.32,2.87,78.35,2,5,2,2,3,0.312,25,3,0,none,1.0,1.0,1.0,T11329
18,T2957,7770-78-7,COc1cc(C[C@H]2C(=O)OC[C@@H]2Cc2ccc(OC)c(OC)c2)ccc1O,C21H24O6,372.42,2.99,74.22,1,6,7,2,3,0.381,27,0,0,none,1.0,1.0,1.0,T2957
19,T4639,1133819-87-0,COc1cccc(C(=O)COc2ccc(CC3SC(=O)NC3=O)cc2)c1,C19H17NO5S,371.41,2.85,81.7,1,6,7,2,3,0.211,26,0,0,none,1.0,1.0,1.0,T38715;T4639
20,T72470,148672-09-7,C[C@]12CC[C@@H]3c4ccc(OS(N)(=O)=O)cc4CC[C@H]3[C@@H]1CCC2=O,C18H23NO4S,349.45,2.69,86.46,1,4,2,1,4,0.611,24,0,0,none,1.0,1.0,1.0,T72470
21,T10138,110374-16-8,COc1ccc2nc(S(=O)Cc3ncc(C)cc3C)[nH]c2c1,C16H17N3O2S,315.4,2.89,67.87,1,4,4,3,3,0.25,22,0,0,none,1.0,1.0,1.0,T10138
22,T0161,164579-32-2,COc1ccnc(CS(=O)c2nc3cc(OC(F)F)ccc3[nH]2)c1OC,C16H15F2N3O4S,383.38,2.88,86.33,1,6,7,3,3,0.25,26,2,0,none,1.0,1.0,1.0,T0161;T6929
23,T10696,666261-80-9,O=C(NCC1CCOCC1)c1cnc(Nc2ccccc2)nc1C(F)(F)F,C18H19F3N4O2,380.37,3.4,76.14,2,5,5,2,3,0.389,27,3,0,none,1.0,1.0,1.0,T10696
24,T5140,,COC(=O)c1ccc(N2CCN(C)CC2)c(NC(=O)c2cccc(OC)c2)c1,C21H25N3O4,383.45,2.49,71.11,1,6,5,2,3,0.333,28,0,0,none,1.0,1.0,1.0,T3201;T5140
25,T61989,334668-69-8,O=C(C1CCCCC1)N1CCN(S(=O)(=O)c2cccc(C(F)(F)F)c2)CC1,C18H23F3N2O3S,404.45,3.12,57.69,0,3,3,1,3,0.611,27,3,0,none,1.0,1.0,1.0,T61989
26,T26630,356102-14-2,COc1ccccc1C=NNC(=O)COc1ccc(Cl)cc1C,C17H17ClN2O3,332.79,3.19,59.92,1,4,6,2,2,0.176,23,1,0,none,1.0,1.0,1.0,T26630
27,T5056,1188296-52-7,Nc1ncnc2c1c(COc1cccc(Cl)c1)nn2C1CCOCC1,C17H18ClN5O2,359.82,2.99,88.08,1,6,4,3,4,0.353,25,1,0,none,1.0,1.0,1.0,T5056
28,T26287,88296-62-2,Cc1cccc(C)c1NC(=O)C1(N(C)C)CCN([C@@H]2CCCC[C@H]2O)CC1,C22H35N3O2,373.54,2.94,55.81,2,4,4,1,3,0.682,27,0,0,none,1.0,1.0,1.0,T26287
29,T0214L,112529-15-4,CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1,C19H20N2O3S,356.45,3.16,68.29,1,5,7,2,3,0.316,25,0,0,none,1.0,1.0,1.0,T0214;T0214L
30,T11005,170569-87-6,NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccccc2)cc1,C16H12F3N3O2S,367.35,3.21,77.98,1,3,3,3,3,0.062,25,3,0,none,1.0,1.0,1.0,T11005
31,T4244,74805-90-6,Cc1c(O)c(C)c2occ(Cc3ccc4c(c3)OCO4)c(=O)c2c1O,C19H16O6,340.33,3.14,89.13,2,6,2,3,4,0.211,25,0,0,none,1.0,1.0,1.0,T4244
32,TN1527,57906-85-1,COc1cc2c(cc1OC)[C@@H]1Cc3ccc(OC)c(OC)c3C[N+]1([O-])CC2,C21H25NO5,371.43,3.39,59.98,0,5,4,2,4,0.429,27,0,0,none,1.0,1.0,1.0,TN1527
33,TN1346,19716-59-7,COc1cc2c(cc1OC)-c1cc3ccc(OC)c(OC)c3c(=O)n1CC2,C21H21NO5,367.4,3.26,58.92,0,5,4,3,4,0.286,27,0,0,none,1.0,1.0,1.0,TN1346
34,T70812,1383376-93-9,CN1Cc2nccc(-c3cn(C)nc3-c3ccc(F)cc3)c2C1=O,C18H15FN4O,322.34,2.87,51.02,0,3,2,3,4,0.167,24,1,0,none,1.0,1.0,1.0,T70812
35,T0173,849-55-8,CC(CCc1ccccc1)NC(C)C(O)c1ccc(O)cc1,C19H25NO2,299.41,3.43,52.49,3,3,7,2,2,0.368,22,0,0,none,1.0,1.0,1.0,T0173
36,T27704,869650-21-5,CC(=O)c1cccc(-c2cnc3ccc(NCC4CC4)nn23)c1,C18H18N4O,306.37,3.42,59.29,1,4,5,3,4,0.278,23,0,0,none,1.0,1.0,1.0,T27704
37,T4S0227,2306-27-6,COc1ccc(-c2cc(=O)c3c(OC)c(OC)c(OC)cc3o2)cc1OC,C20H20O7,372.37,3.5,76.36,0,7,6,3,3,0.25,27,0,0,none,1.0,1.0,1.0,T4S0227
38,T3119,1802326-66-4,C[C@H](NC(=O)CNC(=O)c1cccc(Cl)c1)c1ccccc1,C17H17ClN2O2,316.79,2.95,58.2,2,2,5,2,2,0.176,22,1,0,none,1.0,1.0,1.0,T3119
39,T10983L,1831167-98-6,CN1CCN(c2ccc(C(=O)Nc3ccc([C@@H]4C[C@H]4N)cc3)cc2)CC1,C21H26N4O,350.47,2.51,61.6,2,4,4,2,4,0.381,26,0,0,none,1.0,1.0,1.0,T10983L
40,T16581,62666-20-0,NC(=O)CCCN=C(c1ccc(Cl)cc1)c1cc(F)ccc1O,C17H16ClFN2O2,334.78,3.29,75.68,2,3,6,2,2,0.176,23,2,0,none,1.0,1.0,1.0,T16581
41,T2686,161973-10-0,COc1ccc2[nH]c([S@@](=O)Cc3ncc(C)c(OC)c3C)nc2c1,C17H19N3O3S,345.42,2.9,77.1,1,5,5,3,3,0.294,24,0,0,none,1.0,1.0,1.0,T2686
42,TN2023,19716-60-0,COc1cc2c(cc1OC)-c1cc3ccc4c(c3c(=O)n1CC2)OCO4,C20H17NO5,351.36,2.97,58.92,0,5,2,3,5,0.25,26,0,0,none,1.0,1.0,1.0,TN2023
43,T40481,385425-03-6,Cc1ccc(-n2cnc(N=CN3CCOCC3)c2C(=O)c2ccccc2)cc1,C22H22N4O2,374.44,3.4,59.72,0,4,5,3,4,0.227,28,0,0,none,1.0,1.0,1.0,T40481
44,T207822,1356013-27-8,CC(O)C1CCN(c2ccc(Cl)cc2NC(=O)c2cnn3cccnc23)CC1,C20H22ClN5O2,399.88,3.23,82.76,2,5,4,3,4,0.35,28,1,0,none,1.0,1.0,1.0,T207822
45,T22671,519148-48-2,Cc1cn2c(N)c(Cl)cc(C(=O)NCC3CCN(CC(C)C)CC3)c2n1,C19H28ClN5O,377.92,2.98,75.66,2,4,5,2,3,0.579,26,1,0,none,1.0,1.0,1.0,T22671
46,T5183,1311136-84-1,CC[C@H]1NC(=O)N(c2ccc(Oc3ccc(C)c(OC)c3)nc2)C1=O,C18H19N3O4,341.37,3.03,80.76,1,5,5,2,3,0.278,25,0,0,none,1.0,1.0,1.0,T5183
47,T2607,146062-49-9,CCc1ccc(C(=O)COc2ccc(CC3SC(=O)NC3=O)cc2)nc1,C19H18N2O4S,370.43,2.8,85.36,1,6,7,2,3,0.263,26,0,0,none,1.0,1.0,1.0,T2607
48,T2599,75444-65-4,Cc1nc2ccccn2c(=O)c1CCN1CCC(C(=O)c2ccc(F)cc2)CC1,C23H24FN3O2,393.46,3.28,54.68,0,4,5,3,4,0.348,29,1,0,none,1.0,1.0,1.0,T2599
49,T61191,892772-75-7,O=C(Nc1nccs1)C(c1ccccc1)N1Cc2ccccc2C1=O,C19H15N3O2S,349.42,3.48,62.3,1,4,4,3,4,0.105,25,0,0,none,1.0,1.0,1.0,T61191
50,TN2148,1245-15-4,COc1cc(O)c2c(=O)c(OC)c(-c3ccc(OC)c(OC)c3)oc2c1,C19H18O7,358.35,3.2,87.36,1,7,5,3,3,0.211,26,0,0,none,1.0,1.0,1.0,TN2148
51,T10674,908608-06-0,Cc1cc(N2CCOCC2)nc(C)c1NC(=O)OCc1ccccc1,C19H23N3O3,341.41,3.28,63.69,1,5,4,2,3,0.368,25,0,0,none,1.0,1.0,1.0,T10674
52,T38776,1365060-22-5,O=C(O)CSc1ncnc2c(C3CC3)c(Cl)sc12,C11H9ClN2O2S2,300.79,3.4,63.08,1,5,4,2,3,0.364,18,1,0,none,1.0,1.0,1.0,T38776
53,T5116,36734-19-7,CC(C)NC(=O)N1CC(=O)N(c2cc(Cl)cc(Cl)c2)C1=O,C13H13Cl2N3O3,330.17,2.88,69.72,1,3,2,1,2,0.308,21,2,0,none,1.0,1.0,1.0,T5116
54,T11828,2407782-01-6,COc1ccccc1-c1cc2n(n1)Cc1ccc(NC(C)=O)cc1OC2,C20H19N3O3,349.39,3.46,65.38,1,4,3,3,4,0.2,26,0,0,none,1.0,1.0,1.0,T11828
55,T6058,1262036-50-9,NC1=N[C@@]2(c3cc(NC(=O)c4ccc(F)cn4)ccc3F)COC[C@H]2CS1,C18H16F2N4O2S,390.42,2.52,89.6,2,6,3,2,4,0.278,27,2,0,none,1.0,1.0,1.0,T6058
56,T0280,749-02-0,O=C(CCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc(F)cc1,C23H26FN3O2,395.48,3.22,52.65,1,4,6,2,4,0.391,29,1,0,none,1.0,1.0,1.0,T0280
57,T28362,936345-35-6,Cc1cc(Oc2c(C3CC3)nn(CS(C)(=O)=O)c2C)cc(C)c1C#N,C18H21N3O3S,359.45,3.35,84.98,0,5,5,2,3,0.444,25,0,0,none,1.0,1.0,1.0,T28362
58,T60011,1570374-32-1,CCCn1c(NC(=O)c2cccc(C(=O)O)c2)nc2ccccc21,C18H17N3O3,323.35,3.4,84.22,2,3,5,3,3,0.167,24,0,0,none,1.0,1.0,1.0,T60011
59,T2661,663619-89-4,Cc1cc(C(C)Nc2ccccc2)c2nc(N3CCOCC3)cc(=O)n2c1,C21H24N4O2,364.45,3.01,58.87,1,5,4,3,4,0.333,27,0,0,none,1.0,1.0,1.0,T2661
60,T5341,2131803-90-0,CCOC(=O)c1cnc(C#Cc2ccc3c(c2)C(C)(C)CCS3=O)nc1,C20H20N2O3S,368.46,2.84,69.15,0,5,2,2,3,0.35,26,0,0,none,1.0,1.0,1.0,T5341
61,T60005,349438-74-0,COc1ccc2nc(NC(=O)Cc3ccccc3OC)sc2c1,C17H16N2O3S,328.39,3.49,60.45,1,5,5,3,3,0.176,23,0,0,none,1.0,1.0,1.0,T60005
62,T36631,2247890-13-5,C[C@H]1CC(=O)Nc2cc(C(=O)NCCC3CC3)ccc2N1C(=O)N1CC2CC2C1,C22H28N4O3,396.49,2.83,81.75,2,3,4,1,5,0.591,29,0,0,none,1.0,1.0,1.0,T36631
63,T61786,2260969-36-4,CCN1CCC(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)CC1,C20H29N3O3S,391.54,2.6,78.51,2,4,4,1,4,0.65,27,0,0,none,1.0,1.0,1.0,T61786
64,T37655,2361327-08-2,O=C(O)c1ccc(C(=O)N2CCc3c(c(=O)oc4ccccc34)C2)cc1,C20H15NO5,349.34,2.69,87.82,1,4,2,3,4,0.15,26,0,0,none,1.0,1.0,1.0,T37655
65,T2589,878143-33-0,O=C(O[C@@H]1C[C@@H]2C[C@H]3C[C@H](C1)N2CC3=O)c1c[nH]c2ccccc12,C19H20N2O3,324.38,2.52,62.4,1,4,2,2,6,0.474,24,0,0,none,1.0,1.0,1.0,T2589
66,T83321,3590-93-0,COc1cc([C@@H]2c3cc4c(cc3C[C@H]3COC(=O)[C@@H]32)OCO4)cc(OC)c1O,C21H20O7,384.38,2.62,83.45,1,7,3,2,5,0.381,28,0,0,none,1.0,1.0,1.0,T83321
67,T21946,134296-40-5,CC(C)n1c(=O)n(C(=O)N[C@H]2C[C@H]3CC[C@@H](C2)N3C)c2ccccc21,C19H26N4O2,342.44,2.57,59.27,1,3,2,2,4,0.579,25,0,0,none,1.0,1.0,1.0,T21946
68,T77708,764694-25-9,Cc1sc2ncnc(OCC(=O)Nc3cccc(C#N)c3)c2c1C,C17H14N4O2S,338.39,3.2,87.9,1,6,4,3,3,0.176,24,0,0,none,1.0,1.0,1.0,T77708
69,T3187,154540-49-5,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(Cc2ccc(F)cc2)CC1,C20H23ClFN3O2,391.87,3.46,67.59,2,4,5,2,3,0.35,27,2,0,none,1.0,1.0,1.0,T3187
70,T10244,1708113-43-2,O=C(NO)c1cnc(NC2(c3ccccc3)CCC(F)(F)CC2)nc1,C17H18F2N4O2,348.35,3.11,87.14,3,5,4,2,3,0.353,25,2,0,none,1.0,1.0,1.0,T10244
71,TN6905,13079-95-3,c1cc2c(cc1[C@@H]1OC[C@@H]3[C@H]1CO[C@H]3c1ccc3c(c1)OCO3)OCO2,C20H18O6,354.36,3.22,55.38,0,6,2,2,6,0.4,26,0,0,none,1.0,1.0,1.0,TN6905
72,T2554,31637-97-5,CC(C)(Oc1ccc(Cl)cc1)C(=O)OCCOC(=O)c1cccnc1,C18H18ClNO5,363.8,3.29,74.72,0,6,7,2,2,0.278,25,1,0,none,1.0,1.0,1.0,T2554
73,T41160,1234569-09-5,O=C(Oc1nsnc1N1CCCCC1)N1CCCCC1,C13H20N4O2S,296.4,2.51,58.56,0,6,2,1,3,0.769,20,0,0,none,1.0,1.0,1.0,T41160
74,T9994,315693-33-5,O=S(=O)(Nc1ccc2ccccc2c1)c1ccc2c(c1)OCCO2,C18H15NO4S,341.39,3.41,64.63,1,4,3,3,4,0.111,24,0,0,none,1.0,1.0,1.0,T9994
75,T61622,2760543-16-4,O=C(CCCc1ccccc1)N1CCC[C@H]1C(=O)N1CCC[C@H]1c1ncc[nH]1,C22H28N4O2,380.49,3.09,69.3,1,3,6,2,4,0.5,28,0,0,none,1.0,1.0,1.0,T61622
76,T41275,1289620-49-0,C[C@@](CCc1ccc(-c2ccccc2)cc1)(C(=O)NO)S(C)(=O)=O,C18H21NO4S,347.44,2.59,83.47,2,4,6,2,2,0.278,24,0,0,none,1.0,1.0,1.0,T41275
77,TQ0071,1402837-78-8,O[C@H](C[C@H]1c2c(F)cccc2-c2cncn21)[C@H]1CC[C@H](O)CC1,C18H21FN2O2,316.38,2.89,58.28,2,3,3,2,4,0.5,23,1,0,none,1.0,1.0,1.0,TQ0071
78,TQ0233,134234-12-1,C[C@@H]([C@@H](O)c1ccc(O)cc1)N1CCC(O)(c2ccccc2)CC1,C20H25NO3,327.42,2.8,63.93,3,4,4,2,3,0.4,24,0,0,none,1.0,1.0,1.0,TQ0233
79,T0324,579-56-6,CC(COc1ccccc1)NC(C)C(O)c1ccc(O)cc1,C18H23NO3,301.39,2.87,61.72,3,4,7,2,2,0.333,22,0,0,none,1.0,1.0,1.0,T0324
80,T0322,34161-24-5,O=C(COc1ccc(Cl)cc1)N1CCN(Cc2ccc3c(c2)OCO3)CC1,C20H21ClN2O4,388.85,2.79,51.24,0,5,5,2,4,0.35,27,1,0,none,1.0,1.0,1.0,T0322
81,T0320,64-86-8,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,C22H25NO6,399.44,2.87,83.09,1,6,5,2,3,0.364,29,0,0,none,1.0,1.0,1.0,T0320
82,T23549,148869-05-0,N#Cc1ccc(N(Cc2ccc(Br)cc2)n2cnnc2)cc1,C16H12BrN5,354.21,3.38,57.74,0,4,4,3,3,0.062,22,1,0,none,1.0,1.0,1.0,T23549
83,T60056,936345-34-5,Cc1cc(Oc2c(C)nn(CS(C)(=O)=O)c2C2CC2)cc(C)c1C#N,C18H21N3O3S,359.45,3.35,84.98,0,5,5,2,3,0.444,25,0,0,none,1.0,1.0,1.0,T60056
84,T2639,1194044-20-6,C[C@@]1(c2cc(-c3cncnc3)c(F)cc2F)CCSC(N)=N1,C15H14F2N4S,320.37,3.09,64.16,1,5,2,2,3,0.267,22,2,0,none,1.0,1.0,1.0,T2639
85,T40271,2642174-19-2,CCN(C[C@H](C)O)C(=O)Nc1ncc(Cc2cccc(F)c2)s1,C16H20FN3O2S,337.42,3.11,65.46,2,4,6,2,2,0.375,23,1,0,none,1.0,1.0,1.0,T40271
86,T27625,301297-45-0,Cc1cc(C)cc(C(=O)c2c(C(C)C)c(=O)[nH]c(=O)n2CC2CC2)c1,C20H24N2O3,340.42,2.92,71.93,1,3,5,2,3,0.45,25,0,0,none,1.0,1.0,1.0,T27625
87,T6S0781,6873-13-8,COc1cc2c(cc1O)C[C@H]1c3cc(O)c(OC)cc3CC[N@@+]1(C)C2,C20H24NO4+,342.42,2.92,58.92,2,4,2,2,4,0.4,25,0,0,none,1.0,1.0,1.0,T6S0781
88,T5S1959,133-04-0,c1cc2c(cc1[C@H]1OC[C@@H]3[C@H]1CO[C@H]3c1ccc3c(c1)OCO3)OCO2,C20H18O6,354.36,3.22,55.38,0,6,2,2,6,0.4,26,0,0,none,1.0,1.0,1.0,T5S1959
89,T5S1895,23599-69-1,COc1cc2c(cc1O)C[C@@H]1NCCc3cc(OC)c(O)c-2c31,C18H19NO4,313.35,2.52,70.95,3,5,2,2,4,0.333,23,0,0,none,1.0,1.0,1.0,T5S1895
90,T60205,1354546-42-1,C[C@](CCc1ccc(-c2ccccc2)cc1)(C(=O)NO)S(C)(=O)=O,C18H21NO4S,347.44,2.59,83.47,2,4,6,2,2,0.278,24,0,0,none,1.0,1.0,1.0,T60205
91,T2484,1174043-16-3,COC1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4ccccc34)ccc2F)CC1,C22H22FN3O3,395.43,2.9,75.29,1,4,4,3,4,0.318,29,1,0,none,1.0,1.0,1.0,T2484
92,T22313,115956-13-3,O=C(O[C@H]1C[C@H]2CC3C[C@@H](C1)[N@]2CC3=O)c1c[nH]c2ccccc12,C19H20N2O3,324.38,2.52,62.4,1,4,2,2,6,0.474,24,0,0,none,1.0,1.0,1.0,T22313
93,T2506,602306-29-6,Cc1ncc(-c2ccnc(Nc3ccc(S(C)(=O)=O)cc3)n2)n1C(C)C,C18H21N5O2S,371.47,3.38,89.77,1,6,5,3,3,0.278,26,0,0,none,1.0,1.0,1.0,T2506
94,T5383,662164-09-2,CC(Nc1nc(N2CCNCC2)nc2ccccc12)c1ccccc1,C20H23N5,333.44,3.21,53.08,2,5,4,3,4,0.3,25,0,0,none,1.0,1.0,1.0,T5383
95,T6320,905281-76-7,OCCn1cc(-c2ccc3c(c2)CC/C3=N\O)c(-c2ccncc2)n1,C19H18N4O2,334.38,2.73,83.53,2,5,4,3,4,0.211,25,0,0,none,1.0,1.0,1.0,T6320
96,T6303,885499-61-6,NC1(Cc2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1,C18H20ClN5,341.85,3.15,70.83,2,4,3,3,4,0.333,24,1,0,none,1.0,1.0,1.0,T6303;T6303L
97,T15001,27313-86-6,COc1cc2c(cc1O)CCN1Cc3c(ccc(OC)c3OC)CC21,C20H23NO4,341.41,3.07,51.16,1,5,3,2,4,0.4,25,0,0,none,1.0,1.0,1.0,T15001
98,T39694,2222010-71-9,Cn1c(=O)n(CC(=O)N2CCC2)c2cc(-c3ccc(C(F)(F)F)s3)cnc21,C17H15F3N4O2S,396.39,2.71,60.13,0,4,3,3,4,0.353,27,3,0,none,1.0,1.0,1.0,T39694
99,TN1855,5890-18-6,COc1cc2c(cc1O)C[C@@H]1NCCc3cc(O)c(OC)c-2c31,C18H19NO4,313.35,2.52,70.95,3,5,2,2,4,0.333,23,0,0,none,1.0,1.0,1.0,TN1855
100,T4472,1262417-51-5,NC(=O)c1cc(F)cc2c1C(=O)N(C1CCN(C3CCC(F)(F)CC3)CC1)C2,C20H24F3N3O2,395.43,2.92,66.64,1,3,3,1,4,0.6,28,3,0,none,1.0,1.0,1.0,T4472
101,TQ0017,1572510-80-5,CC[C@@H](C)NS(=O)(=O)c1ccc(F)c(C(=O)Nc2ccc(F)c(F)c2)c1,C17H17F3N2O3S,386.4,3.43,75.27,2,3,6,2,2,0.235,26,3,0,none,1.0,1.0,1.0,TQ0017
102,T0292,113617-63-3,C[C@@H]1CN(c2c(F)c(F)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C[C@H](C)N1,C19H20F3N3O3,395.38,2.64,74.57,2,4,3,2,4,0.474,28,3,0,none,1.0,1.0,1.0,T0292
103,T9950,1421366-99-5,O=C(C(=O)N1CCCC[C@@H]1C(=O)NCCCc1ccccc1)c1ccccc1,C23H26N2O3,378.47,3.0,66.48,1,3,7,2,3,0.348,28,0,0,none,1.0,1.0,1.0,T9950
104,T9969,2411748-50-8,CC(=O)N1CCN([C@H]2CCC[C@@H](NC(=O)c3cc4c(F)ccc(C)c4[nH]3)C2)CC1,C22H29FN4O2,400.5,2.82,68.44,2,3,3,2,4,0.545,29,1,0,none,1.0,1.0,1.0,T9969
105,T18719,341498-08-6,CC(CCC(=O)ON1C(=O)CCC1=O)SSc1ccccn1,C14H16N2O4S2,340.43,2.6,76.57,0,7,7,1,2,0.429,22,0,0,none,1.0,1.0,1.0,T18719
106,T68083L,57576-17-7,CC(C)C(=O)Oc1cc(OC(=O)C(C)C)cc(C(O)CNC(C)(C)C)c1,C20H31NO5,365.47,3.23,84.86,2,6,7,1,1,0.6,26,0,0,none,1.0,1.0,1.0,T68083L
107,T5448,51213-99-1,CN(C)c1cccc(F)c1C(=O)NC(=O)Nc1ccc(Cl)cc1,C16H15ClFN3O2,335.77,3.51,61.44,2,3,3,2,2,0.125,23,2,0,none,1.0,1.0,1.0,T5448
108,T20714,138530-95-7,Cc1c(OCC(F)(F)F)ccnc1C[S@](=O)c1nc2ccccc2[nH]1,C16H14F3N3O2S,369.37,3.52,67.87,1,4,5,3,3,0.25,25,3,0,none,0.9999,1.0,1.0,T20714
109,T16276,333353-44-9,CC1(C)CC(NC(=O)C(=O)Nc2ccc(Cl)cc2)CC(C)(C)N1,C17H24ClN3O2,337.85,2.7,70.23,3,3,2,1,2,0.529,23,1,0,none,1.0,1.0,1.0,T16276
110,TN1392,29388-33-8,COc1cc(C[C@H]2COC[C@@H]2Cc2ccc(O)c(OC)c2)ccc1O,C20H24O5,344.41,3.16,68.15,2,5,6,2,3,0.4,25,0,0,none,1.0,1.0,1.0,TN1392
111,T10981,2242470-43-3,O=C1C2C3C=CC(C4CC34)C2C(=O)N1c1ccc(Cc2ccncc2)cc1,C23H20N2O2,356.43,3.23,50.27,0,3,3,2,7,0.348,27,0,0,none,1.0,1.0,1.0,T10981
112,TN1271,1168-42-9,COc1ccc(-c2cc(=O)c3c(OC)c(OC)c(OC)cc3o2)cc1,C19H18O6,342.35,3.49,67.13,0,6,5,3,3,0.211,25,0,0,none,1.0,1.0,1.0,TN1271
113,T16964,173952-44-8,CCCNC(=O)N1N=C(c2ccc(N)cc2)c2cc3c(cc2C1C)OCO3,C20H22N4O3,366.42,3.25,89.18,2,5,3,2,4,0.3,27,0,0,none,1.0,1.0,1.0,T16964
114,T75436,483-43-2,COc1cc2c(cc1O)CC[n+]1cc3c(OC)c(OC)ccc3cc1-2,C20H20NO4+,338.38,3.08,51.8,1,4,3,3,4,0.25,25,0,0,none,1.0,1.0,1.0,T3933;T4912;T75436
115,TQ0176,483-34-1,COc1cc2c(cc1O)[C@@H]1Cc3ccc(OC)c(OC)c3CN1CC2,C20H23NO4,341.41,3.07,51.16,1,5,3,2,4,0.4,25,0,0,none,1.0,1.0,1.0,TQ0176
116,T24873,351071-62-0,Cc1ccccc1Oc1cccc2c(=O)cc(N3CCOCC3)[nH]c12,C20H20N2O3,336.39,3.47,54.56,1,4,3,3,4,0.25,25,0,0,none,1.0,1.0,1.0,T24873
