Global_Rank,Molecule_ID,CAS,SMILES,Formula,MW,LogP,TPSA,HBD,HBA,RotB,AromRings,Rings,FracCsp3,HeavyAtoms,N_Halogen,N_ToxAlerts,Tox_Alerts,S_efficacy,S_safety,S_total,Duplicate_IDs
1666,T3100,1373423-53-0,CCOC(=O)CCNc1cc(N2CCc3ccccc3CC2)nc(-c2ccccn2)n1,C24H27N5O2,417.51,3.51,80.24,1,7,7,3,4,0.333,31,0,0,none,1.0,0.937,0.9748,T3100;T4383
1667,T4567,526-08-9,Nc1ccc(S(=O)(=O)Nc2ccnn2-c2ccccc2)cc1,C15H14N4O2S,314.37,2.26,90.01,2,4,4,3,3,0.0,22,0,0,none,0.9867,0.9569,0.9748,T4567
1668,TQ0053,1070790-89-4,CC[C@H](Nc1nc(NCc2cnc(C)cc2C)c2ncn(C(C)C)c2n1)[C@@H](C)O,C21H31N7O,397.53,3.6,100.78,3,7,8,3,3,0.524,29,0,0,none,0.9581,1.0,0.9748,TQ0053
1669,T7118,94-15-5,CCN(CC)CC(C)(C)COC(=O)c1ccc(N)cc1,C16H26N2O2,278.4,2.79,55.56,1,4,7,1,1,0.562,20,0,0,none,1.0,0.9369,0.9748,T7118
1670,T75098,794582-71-1,O=C(CSc1ccccc1)Nc1nc(-c2ccccn2)cs1,C16H13N3OS2,327.43,3.94,54.88,1,5,5,3,3,0.062,22,0,0,none,0.9592,0.9981,0.9748,T75098
1671,T8319,17851-53-5,CCCCOC(=O)c1ccccc1C(=O)OCC(C)C,C16H22O4,278.35,3.46,52.6,0,4,7,1,1,0.5,20,0,0,none,1.0,0.9367,0.9747,T8319
1672,T64781,901770-40-9,O=C(CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21)Nc1ccc(O)cc1,C16H21N3O3S,335.43,2.06,90.46,4,4,6,1,3,0.5,23,0,0,none,0.9578,1.0,0.9747,T64781
1673,T1123,7689-03-4,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,C20H16N2O4,348.36,2.08,81.42,1,5,1,3,5,0.25,26,0,0,none,0.9579,1.0,0.9747,T1123
1674,T10464L,1414943-88-6,COc1cc(F)ccc1-c1ncnc(Nc2cccc(CS(C)(=N)=O)c2)n1,C18H18FN5O2S,387.44,3.61,100.85,2,7,6,3,3,0.167,27,1,0,none,0.9615,0.9942,0.9746,T10464L
1675,T9940,612829-80-8,NC(=O)c1c(NC(=O)C2CCC2)sc2c1CCCC2,C14H18N2O2S,278.38,2.46,72.19,2,3,3,1,3,0.571,19,0,0,none,0.9997,0.9368,0.9746,T9940
1676,T20759,729605-21-4,Cc1cc(C(=O)N2CCN(c3cccc(Cl)c3)CC2)n(-c2ccccc2)n1,C21H21ClN4O,380.88,3.8,41.37,0,3,3,3,4,0.238,27,1,0,none,0.9575,1.0,0.9745,T20759
1677,T5814,58115-31-4,O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@H](CO)Cc1ccccc1)c1ccccc1,C25H26N2O3,402.49,2.75,78.43,3,3,9,3,3,0.2,30,0,0,none,0.9851,0.9588,0.9745,T5814
1678,T8646,1357160-72-5,NC(=O)c1cccc(-c2cc(OC(=O)NC3CCCCC3)ccc2O)c1,C20H22N2O4,354.41,3.58,101.65,3,4,4,2,3,0.3,26,0,0,none,0.9574,1.0,0.9745,T8646
1679,T68150,16188-61-7,CN(C)CCn1nc(Cc2ccccc2)c2ccccc2c1=O,C19H21N3O,307.4,2.55,38.13,0,3,5,3,3,0.263,23,0,0,none,0.9574,1.0,0.9744,T68150
1680,T3306,1078166-57-0,COc1ccc2cc(OCC3(C(=O)O)CN(C(=O)c4ccc(F)cc4)C3)ccc2c1,C23H20FNO5,409.41,3.59,76.07,1,4,6,3,4,0.217,30,1,0,none,0.998,0.939,0.9744,T3306
1681,T6789,623152-17-0,CCCNC(=O)c1cn2ncnc(Nc3cc(C(=O)NC4CC4)ccc3C)c2c1C,C22H26N6O2,406.49,3.12,100.42,3,5,7,3,4,0.364,30,0,0,none,0.9667,0.986,0.9744,T3462;T6789
1682,T14345,2870-71-5,C[N+]1(C)[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2,C18H26NO3+,304.41,2.08,46.53,1,3,4,1,3,0.611,22,0,0,none,0.9574,1.0,0.9744,T14345
1683,T61477,296771-07-8,O=C(CSc1nnc2c(n1)[nH]c1ccccc12)Nc1ccc(Cl)cn1,C16H11ClN6OS,370.83,3.29,96.45,2,6,4,4,4,0.062,25,1,0,none,0.9574,1.0,0.9744,T61477
1684,T5496,1013750-77-0,COc1ccc(OC)c(-c2nnc3n2N=C(c2ccc(OC)c(OC)c2)CS3)c1,C20H20N4O4S,412.47,3.34,79.99,0,8,6,3,4,0.25,29,0,0,none,1.0,0.9358,0.9743,T5496
1685,T20570,36894-69-6,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,C19H24N2O3,328.41,2.14,95.58,4,4,8,2,2,0.316,24,0,0,none,0.9572,1.0,0.9743,T0348;T20570
1686,T28655,104383-17-7,CN(c1nc2ccccc2s1)C1CCN(CC(O)COc2ccc(F)cc2)CC1,C22H26FN3O2S,415.53,3.78,48.83,1,6,7,3,4,0.409,29,1,0,none,0.9828,0.9615,0.9742,T28655
1687,T64333,13574-13-5,CC(C)(C)OC(=O)N[C@@H](CCC(=O)OCc1ccccc1)C(=O)O,C17H23NO6,337.37,2.49,101.93,2,5,7,1,1,0.471,24,0,0,none,0.9569,1.0,0.9742,T64333
1688,T24021L,,CC1(C)CC2(NC(=O)N(CCCN3CCC(O)CC3)C2=O)c2cc(Cl)ccc2O1,C21H28ClN3O4,421.93,2.5,82.11,2,5,4,1,4,0.619,29,1,0,none,1.0,0.9356,0.9742,T24021;T24021L
1689,T2026,1094042-01-9,CCOc1ccc(-c2nc(-c3cccc4c3CCC4NCCO)no2)cc1OCC,C23H27N3O4,409.49,3.77,89.64,2,7,9,3,4,0.391,30,0,0,none,0.9689,0.9822,0.9742,T2026
1690,T67703,1144075-34-2,CCNC(=O)Nc1ccc(-c2nc(N3CC4CCC(C3)O4)c3sccc3n2)cc1,C21H23N5O2S,409.52,3.87,79.38,2,6,4,3,5,0.381,29,0,0,none,0.9706,0.9795,0.9742,T67703
1691,T3976,321661-62-5,CCCCCCCC(=O)c1c(O)cc(O)cc1CC(=O)OCC,C18H26O5,322.4,3.75,83.83,2,5,10,1,1,0.556,23,0,0,none,0.957,1.0,0.9742,T3976
1692,T4S1943,52659-56-0,C[C@@]1(CO)C[C@@H](O)C[C@@]2(C)[C@@H]3CC[C@](C)([C@@H](O)CO)C=C3CC[C@H]12,C20H34O4,338.49,2.25,80.92,4,4,3,0,3,0.9,24,0,0,none,0.9569,1.0,0.9741,T4S1943
1693,T206046,190653-73-7,CCn1cnc2c(Nc3cccc(Cl)c3)nc(N[C@H]3CCCC[C@H]3N)nc21,C19H24ClN7,385.9,3.93,93.68,3,6,5,3,4,0.421,27,1,0,none,0.9568,1.0,0.9741,T206046
1694,T27951,211311-39-6,CC(CNS(=O)(=O)C(C)C)c1ccc(-c2ccccc2F)cc1,C18H22FNO2S,335.44,3.92,46.17,1,2,6,2,2,0.333,23,1,0,none,0.9566,1.0,0.974,T27951
1695,T37558,337349-54-9,COc1ccc(-n2c(SCC#N)nc3sc4c(c3c2=O)CCCC4)cc1,C19H17N3O2S2,383.5,3.95,67.91,0,6,4,3,4,0.316,26,0,0,none,0.9566,1.0,0.974,T37558
1696,T10777,1598426-03-9,CCOC(=O)c1cnc(NC2(c3ccccc3)CC2)nc1,C16H17N3O2,283.33,2.75,64.11,1,5,5,2,3,0.312,21,0,0,none,1.0,0.9351,0.974,T10777
1697,T24750,883226-64-0,Cc1oc2ccccc2c1CNC(=O)NCc1cccs1,C16H16N2O2S,300.38,3.8,54.27,2,3,4,3,3,0.188,21,0,0,none,0.9799,0.9649,0.9739,T24750
1698,T67966,22365-40-8,CN1C(=O)CC(=O)N(c2ccccc2)c2cc(C(F)(F)F)ccc21,C17H13F3N2O2,334.3,3.74,40.62,0,2,1,2,3,0.176,24,3,0,none,0.9563,1.0,0.9738,T67966
1699,T5512,409345-29-5,CO[C@H]1CC[C@@H](C(=O)c2ccc3nc4c(cc3c2)CCCO4)CC1,C20H23NO3,325.41,3.95,48.42,0,4,3,2,4,0.5,24,0,0,none,0.9563,1.0,0.9738,T5512
1700,T0457,57-66-9,CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1,C13H19NO4S,285.37,2.2,74.68,1,3,7,1,1,0.462,19,0,0,none,0.9796,0.965,0.9738,T0457
