Global_Rank,Molecule_ID,CAS,SMILES,Formula,MW,LogP,TPSA,HBD,HBA,RotB,AromRings,Rings,FracCsp3,HeavyAtoms,N_Halogen,N_ToxAlerts,Tox_Alerts,S_efficacy,S_safety,S_total,Duplicate_IDs,Nearest_Reference,Ref_Target,Ref_Mechanism,Ref_Tanimoto,Chemotype,Chemotype_Target,Chemotype_Mechanism,Chemotype_Weight,S_mech,Murcko_Scaffold,S_nomination
209,T3483,873551-53-2,Cc1c(C2=CCN(C(=O)N(C)C(C)C)CC2)nnn1-c1cccnc1F,C18H23FN6O,358.42,2.66,67.15,0,4,3,2,3,0.444,26,1,0,none,1.0,1.0,1.0,T3483,PF-06424439 (DGAT2i),DGAT2,二酰甘油酰基转移酶2 抑制剂，直接阻断甘油三酯酯化终末步骤,0.185,无明确优势骨架命中,,,0.0,0.1852,C1=C(c2cn(-c3cccnc3)nn2)CCNC1,0.5926
210,T60149,859721-81-6,O=C(CS(=O)(=O)c1ccccc1)c1ccc(C(F)(F)F)cc1,C15H11F3O3S,328.31,3.36,51.21,0,3,4,2,2,0.133,22,3,0,none,1.0,1.0,1.0,T60149,GW501516,PPAR-delta,PPAR-delta 选择性激动，提升肝与骨骼肌脂肪酸氧化,0.229,无明确优势骨架命中,,,0.0,0.2286,O=C(CS(=O)(=O)c1ccccc1)c1ccccc1,0.6143
211,T23563,147695-92-9,CC(O)(C(=O)Nc1ccc(S(=O)(=O)c2ccccc2)cc1)C(F)(F)F,C16H14F3NO4S,373.35,2.77,83.47,2,4,4,2,2,0.188,25,3,0,none,1.0,1.0,1.0,T23563,Salicylate,"AMPK (direct, beta1)",直接结合 AMPK beta1 变构位点，抑制脂肪生成,0.205,无明确优势骨架命中,,,0.0,0.2045,O=S(=O)(c1ccccc1)c1ccccc1,0.6022
212,T4463,283173-50-2,CNCc1ccc(-c2[nH]c3cc(F)cc4c3c2CCNC4=O)cc1,C19H18FN3O,323.37,2.98,56.92,3,2,3,3,4,0.211,24,1,0,none,1.0,1.0,1.0,T16807;T4463,A-769662,"AMPK (direct, beta1)",直接变构激活 AMPK beta1 亚基，磷酸化 ACC1/2 抑制 DNL,0.171,哌嗪/哌啶杂芳基甲酰胺,SCD1 / DGAT2,脂质酶抑制剂常见的环胺-酰胺连接模式，倾向作用于 SCD1/DGAT2 等内质网膜结合型脂质合成酶,0.55,0.4186,O=C1NCCc2c(-c3ccccc3)[nH]c3cccc1c23,0.7093
213,T6366,934162-61-5,NC(=O)c1cccc2[nH]c(-c3ccc([C@@H]4CCCN4)cc3F)nc12,C18H17FN4O,324.36,2.89,83.8,3,3,3,3,4,0.222,24,1,0,none,1.0,1.0,1.0,T6366,TVB-2640 (Denifanstat),FASN,脂肪酸合酶 beta-酮脂酰还原酶结构域抑制剂，直接阻断棕榈酸从头合成,0.156,无明确优势骨架命中,,,0.0,0.1562,c1ccc2[nH]c(-c3ccc(C4CCCN4)cc3)nc2c1,0.5781
214,T67897,2707510-30-1,CC(C)[C@H](NC(=O)c1cc2ccccc2[nH]1)C(=O)Nc1nccs1,C17H18N4O2S,342.42,3.02,86.88,3,4,5,3,3,0.235,24,0,0,none,1.0,1.0,1.0,T67897,Rosiglitazone,PPAR-gamma,TZD 类 PPAR-gamma 全激动剂，改善胰岛素抵抗与肝内脂肪蓄积,0.155,无明确优势骨架命中,,,0.0,0.1548,O=C(CNC(=O)c1cc2ccccc2[nH]1)Nc1nccs1,0.5774
215,T32589L,3122-95-0,COc1ccc(C[C@H]2c3cc(OC)c(OC)cc3CCN2C)cc1O,C20H25NO4,343.42,3.19,51.16,1,5,5,2,3,0.4,25,0,0,none,1.0,1.0,1.0,T32589L,Trimetazidine,3-KAT (长链硫解酶),部分脂肪酸氧化抑制剂，代谢调节剂,0.259,无明确优势骨架命中,,,0.0,0.2586,c1ccc(CC2NCCc3ccccc32)cc1,0.6293
216,T12075,863588-32-3,O=c1cc(N2CCN(c3cccc(Cl)c3)CC2)[nH]c(=O)n1C1CCCCC1,C20H25ClN4O2,388.9,3.02,61.34,1,4,3,2,4,0.5,27,1,0,none,1.0,1.0,1.0,T12075,Resmetirom (MGL-3196),THR-beta,肝脏选择性甲状腺激素受体 beta 激动；上调 CPT1A/线粒体 beta-氧化与脂噬，降低肝内甘油三酯,0.145,无明确优势骨架命中,,,0.0,0.1446,O=c1cc(N2CCN(c3ccccc3)CC2)[nH]c(=O)n1C1CCCCC1,0.5723
217,T17022,107534-96-3,CC(C)(C)C(O)(CCc1ccc(Cl)cc1)Cn1cncn1,C16H22ClN3O,307.82,3.34,50.94,1,3,5,2,2,0.5,21,1,0,none,1.0,1.0,1.0,T17022,Bezafibrate,PPAR pan,泛 PPAR 弱激动剂，降低血浆与肝内甘油三酯,0.295,无明确优势骨架命中,,,0.0,0.2951,c1ccc(CCCCn2cncn2)cc1,0.6476
218,T72814,872506-67-7,Cc1c(Cl)cccc1S(=O)(=O)N1CCC[C@H](C(=O)NC2CCCCC2)C1,C19H27ClN2O3S,398.96,3.5,66.48,1,3,4,1,3,0.632,26,1,0,none,1.0,1.0,1.0,T72814,Lanifibranor,PPAR pan (alpha/delta/gamma),泛 PPAR 激动，促进 beta-氧化、抑制脂肪生成与炎症纤维化,0.247,无明确优势骨架命中,,,0.0,0.2466,O=C(NC1CCCCC1)C1CCCN(S(=O)(=O)c2ccccc2)C1,0.6233
