Global_Rank,Molecule_ID,CAS,SMILES,Formula,MW,LogP,TPSA,HBD,HBA,RotB,AromRings,Rings,FracCsp3,HeavyAtoms,N_Halogen,N_ToxAlerts,Tox_Alerts,S_efficacy,S_safety,S_total,Duplicate_IDs,Nearest_Reference,Ref_Target,Ref_Mechanism,Ref_Tanimoto,Chemotype,Chemotype_Target,Chemotype_Mechanism,Chemotype_Weight,S_mech,Murcko_Scaffold,S_nomination
1,T10732,113932-41-5,CCOC(=O)C(C(=O)O[C@H]1C[C@H]2CC[C@@H](C1)[N+]2(C)C)c1ccccc1,C20H28NO4+,346.45,2.65,52.6,0,4,5,1,3,0.6,25,0,0,none,1.0,1.0,1.0,T10732,Pravastatin,HMGCR,开环羟酸型亲水 HMGCR 抑制剂,0.207,无明确优势骨架命中,,,0.0,0.2073,O=C(Cc1ccccc1)OC1CC2CCC(C1)[NH2+]2,0.6036
2,TN7150,56402-79-0,COc1ccc(NC(=O)Nc2ccc(OC)cc2OC)c(OC)c1,C17H20N2O5,332.36,3.37,78.05,2,5,6,2,2,0.235,24,0,0,none,1.0,1.0,1.0,TN7150,Ranolazine,pFOX / 晚钠电流,部分脂肪酸氧化抑制，改善代谢底物利用,0.226,无明确优势骨架命中,,,0.0,0.2258,O=C(Nc1ccccc1)Nc1ccccc1,0.6129
3,T67952,2417988-00-0,COc1ccc(CN=C(C)c2c(O)c3ccccc3oc2=O)cc1,C19H17NO4,323.35,3.52,72.03,1,5,4,3,3,0.158,24,0,0,none,0.9999,1.0,1.0,T67952,Rosiglitazone,PPAR-gamma,TZD 类 PPAR-gamma 全激动剂，改善胰岛素抵抗与肝内脂肪蓄积,0.195,无明确优势骨架命中,,,0.0,0.1948,O=c1oc2ccccc2cc1C=NCc1ccccc1,0.5974
4,T23003,1443118-44-2,COc1ccc(C#Cc2ccc(C(=O)N3CCC[C@@H](O)C3)c(F)c2)cc1,C21H20FNO3,353.39,2.83,49.77,1,3,2,2,3,0.286,26,1,0,none,1.0,1.0,1.0,T23003,TVB-2640 (Denifanstat),FASN,脂肪酸合酶 beta-酮脂酰还原酶结构域抑制剂，直接阻断棕榈酸从头合成,0.202,哌嗪/哌啶杂芳基甲酰胺,SCD1 / DGAT2,脂质酶抑制剂常见的环胺-酰胺连接模式，倾向作用于 SCD1/DGAT2 等内质网膜结合型脂质合成酶,0.55,0.4497,O=C(c1ccc(C#Cc2ccccc2)cc1)N1CCCCC1,0.7248
5,T2A2486,53350-26-8,COc1cc(OC)c2c(=O)cc(-c3cc(OC)c(OC)c(OC)c3)oc2c1,C20H20O7,372.37,3.5,76.36,0,7,6,3,3,0.25,27,0,0,none,1.0,1.0,1.0,T2A2486,ACC inhibitor chemotype (firsocostat-like proxy),ACC1/ACC2,变构抑制乙酰辅酶A羧化酶，降低丙二酰辅酶A、阻断新发脂质合成(DNL)并解除 CPT1 抑制,0.197,黄酮/黄烷酮母核,AMPK / SREBP-1c,黄酮类多酚激活 AMPK-SIRT1 轴，抑制 SREBP-1c/FAS/ACC 表达并促进脂噬,0.6,0.4672,O=c1cc(-c2ccccc2)oc2ccccc12,0.7336
6,T38367,1208549-68-1,O=C(Nc1ccc(OC(F)(F)F)cc1)NC1CCN(C(=O)C2CC2)CC1,C17H20F3N3O3,371.36,3.11,70.67,2,3,4,1,3,0.529,26,3,0,none,1.0,1.0,1.0,T38367,TVB-2640 (Denifanstat),FASN,脂肪酸合酶 beta-酮脂酰还原酶结构域抑制剂，直接阻断棕榈酸从头合成,0.36,无明确优势骨架命中,,,0.0,0.36,O=C(Nc1ccccc1)NC1CCN(C(=O)C2CC2)CC1,0.68
7,T0151,119-41-5,CCOC(=O)COc1ccc2c(=O)cc(-c3ccccc3)oc2c1,C19H16O5,324.33,3.4,65.74,0,5,5,3,3,0.158,24,0,0,none,1.0,1.0,1.0,T0151,Etomoxir,CPT1a (抑制剂/阴性对照),CPT1 不可逆抑制剂，作为脂肪酸氧化通路机制阴性对照,0.269,黄酮/黄烷酮母核,AMPK / SREBP-1c,黄酮类多酚激活 AMPK-SIRT1 轴，抑制 SREBP-1c/FAS/ACC 表达并促进脂噬,0.6,0.5387,O=c1cc(-c2ccccc2)oc2ccccc12,0.7694
8,T60023,58125-33-0,N#Cc1c(NC(=O)CN2CCCCC2)sc2c1CCCC2,C16H21N3OS,303.43,2.92,56.13,1,4,3,1,3,0.625,21,0,0,none,1.0,1.0,1.0,T60023,Ranolazine,pFOX / 晚钠电流,部分脂肪酸氧化抑制，改善代谢底物利用,0.233,无明确优势骨架命中,,,0.0,0.2329,O=C(CN1CCCCC1)Nc1cc2c(s1)CCCC2,0.6164
9,T16528,942289-87-4,Nc1ccc(-c2cccc3c(=O)cc(N4CCOCC4)oc23)cc1,C19H18N2O3,322.36,2.88,68.7,1,5,2,3,4,0.211,24,0,0,none,1.0,1.0,1.0,T16528,PF-06424439 (DGAT2i),DGAT2,二酰甘油酰基转移酶2 抑制剂，直接阻断甘油三酯酯化终末步骤,0.183,无明确优势骨架命中,,,0.0,0.1831,O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)cccc12,0.5916
10,T73772,1240-04-6,C[C@]12CC[C@@H]3c4ccc(OS(=O)(=O)O)cc4CC[C@H]3[C@@H]1CCC2=O,C18H22O5S,350.44,3.29,80.67,1,4,2,1,4,0.611,24,0,0,none,1.0,1.0,1.0,T0345;T36857;T36857L;T73772,Ciprofibrate,PPAR-alpha,长效贝特类，诱导过氧化物酶体增殖与脂肪酸 beta-氧化,0.179,无明确优势骨架命中,,,0.0,0.1791,O=C1CCC2C1CCC1c3ccccc3CCC12,0.5896
11,T4140,1820787-94-7,N#Cc1ccc2ncnc(N[C@H]3CC[C@H](N4CCOCC4)CC3)c2c1,C19H23N5O,337.43,2.56,74.07,1,6,3,2,4,0.526,25,0,0,none,1.0,1.0,1.0,T4140,PF-06424439 (DGAT2i),DGAT2,二酰甘油酰基转移酶2 抑制剂，直接阻断甘油三酯酯化终末步骤,0.184,无明确优势骨架命中,,,0.0,0.1842,c1ccc2c(NC3CCC(N4CCOCC4)CC3)ncnc2c1,0.5921
12,T1286,1617-90-9,CC[C@]12CCCN3CCc4c(n(c5ccccc45)[C@@](O)(C(=O)OC)C1)[C@@H]32,C21H26N2O3,354.45,2.95,54.7,1,4,2,2,5,0.571,26,0,0,none,1.0,1.0,1.0,T1286,Ranolazine,pFOX / 晚钠电流,部分脂肪酸氧化抑制，改善代谢底物利用,0.182,无明确优势骨架命中,,,0.0,0.1818,c1ccc2c(c1)c1c3n2CCC2CCCN(CC1)C32,0.5909
13,T23470,1135210-68-2,CCCCNc1c(C(=O)OCC)c(C)nc2c1cnn2CC,C16H24N4O2,304.39,3.15,69.04,1,5,7,2,2,0.562,22,0,0,none,1.0,1.0,1.0,T23470,TVB-2640 (Denifanstat),FASN,脂肪酸合酶 beta-酮脂酰还原酶结构域抑制剂，直接阻断棕榈酸从头合成,0.182,无明确优势骨架命中,,,0.0,0.1818,c1cnc2[nH]ncc2c1,0.5909
14,T5S0777,104112-82-5,COc1cc2c(cc1O)C[C@H]1c3cc(O)c(OC)cc3CC[N+]1(C)C2,C20H24NO4+,342.42,2.92,58.92,2,4,2,2,4,0.4,25,0,0,none,1.0,1.0,1.0,T5S0777,Berberine,AMPK / PCSK9 / LDLR,原小檗碱型生物碱，激活 AMPK 并稳定 LDLR mRNA，HepG2 经典降脂阳性对照,0.181,无明确优势骨架命中,,,0.0,0.1806,c1ccc2c(c1)CC1c3ccccc3CC[NH+]1C2,0.5903
15,T2919,607-80-7,c1cc2c(cc1[C@H]1OC[C@H]3[C@@H]1CO[C@@H]3c1ccc3c(c1)OCO3)OCO2,C20H18O6,354.36,3.22,55.38,0,6,2,2,6,0.4,26,0,0,none,1.0,1.0,1.0,T2919,Berberine,AMPK / PCSK9 / LDLR,原小檗碱型生物碱，激活 AMPK 并稳定 LDLR mRNA，HepG2 经典降脂阳性对照,0.217,无明确优势骨架命中,,,0.0,0.2167,c1cc2c(cc1C1OCC3C(c4ccc5c(c4)OCO5)OCC13)OCO2,0.6083
16,T60675L,,CC(C)CNC(=N)NC(=N)Nc1ccc(C(F)(F)F)cc1,C13H18F3N5,301.32,2.82,83.79,5,2,3,1,1,0.385,21,3,0,none,1.0,1.0,1.0,T60675L,Ervogastat (PF-06865571),DGAT2,口服 DGAT2 抑制剂，降低肝内甘油三酯合成与 VLDL 分泌,0.203,双胍 (biguanide),AMPK (indirect),抑制线粒体呼吸链复合物I，升高 AMP/ATP 比值激活 LKB1-AMPK 轴，磷酸化失活 ACC1/2 并抑制 SREBP-1c，阻断新发脂质合成,0.9,0.6079,c1ccccc1,0.8039
17,T11329,2225728-57-2,CC1(C)c2cccc(C(=O)NO)c2CN1c1cnc(C(F)(F)F)cn1,C16H15F3N4O2,352.32,2.87,78.35,2,5,2,2,3,0.312,25,3,0,none,1.0,1.0,1.0,T11329,Ervogastat (PF-06865571),DGAT2,口服 DGAT2 抑制剂，降低肝内甘油三酯合成与 VLDL 分泌,0.212,无明确优势骨架命中,,,0.0,0.2125,c1ccc2c(c1)CN(c1cnccn1)C2,0.6062
18,T2957,7770-78-7,COc1cc(C[C@H]2C(=O)OC[C@@H]2Cc2ccc(OC)c(OC)c2)ccc1O,C21H24O6,372.42,2.99,74.22,1,6,7,2,3,0.381,27,0,0,none,1.0,1.0,1.0,T2957,Berberine,AMPK / PCSK9 / LDLR,原小檗碱型生物碱，激活 AMPK 并稳定 LDLR mRNA，HepG2 经典降脂阳性对照,0.225,无明确优势骨架命中,,,0.0,0.2254,O=C1OCC(Cc2ccccc2)C1Cc1ccccc1,0.6127
19,T4639,1133819-87-0,COc1cccc(C(=O)COc2ccc(CC3SC(=O)NC3=O)cc2)c1,C19H17NO5S,371.41,2.85,81.7,1,6,7,2,3,0.211,26,0,0,none,1.0,1.0,1.0,T38715;T4639,Rosiglitazone,PPAR-gamma,TZD 类 PPAR-gamma 全激动剂，改善胰岛素抵抗与肝内脂肪蓄积,0.484,"噻唑烷-2,4-二酮 (TZD)",PPAR-gamma,TZD 酸性头基占据 PPAR-gamma 配体口袋 AF-2 螺旋，改善胰岛素敏感性、促进脂质向脂肪组织再分布，减轻肝细胞脂毒性,0.92,0.8984,O=C1NC(=O)C(Cc2ccc(OCC(=O)c3ccccc3)cc2)S1,0.9492
20,T72470,148672-09-7,C[C@]12CC[C@@H]3c4ccc(OS(N)(=O)=O)cc4CC[C@H]3[C@@H]1CCC2=O,C18H23NO4S,349.45,2.69,86.46,1,4,2,1,4,0.611,24,0,0,none,1.0,1.0,1.0,T72470,Ciprofibrate,PPAR-alpha,长效贝特类，诱导过氧化物酶体增殖与脂肪酸 beta-氧化,0.162,无明确优势骨架命中,,,0.0,0.1618,O=C1CCC2C1CCC1c3ccccc3CCC12,0.5809
21,T10138,110374-16-8,COc1ccc2nc(S(=O)Cc3ncc(C)cc3C)[nH]c2c1,C16H17N3O2S,315.4,2.89,67.87,1,4,4,3,3,0.25,22,0,0,none,1.0,1.0,1.0,T10138,GW4064,FXR,非甾体高效 FXR 激动剂工具化合物，抑制 DNL 相关转录程序,0.187,无明确优势骨架命中,,,0.0,0.1868,O=S(Cc1ccccn1)c1nc2ccccc2[nH]1,0.5934
22,T0161,164579-32-2,COc1ccnc(CS(=O)c2nc3cc(OC(F)F)ccc3[nH]2)c1OC,C16H15F2N3O4S,383.38,2.88,86.33,1,6,7,3,3,0.25,26,2,0,none,1.0,1.0,1.0,T0161;T6929,Trimetazidine,3-KAT (长链硫解酶),部分脂肪酸氧化抑制剂，代谢调节剂,0.2,无明确优势骨架命中,,,0.0,0.2,O=S(Cc1ccccn1)c1nc2ccccc2[nH]1,0.6
23,T10696,666261-80-9,O=C(NCC1CCOCC1)c1cnc(Nc2ccccc2)nc1C(F)(F)F,C18H19F3N4O2,380.37,3.4,76.14,2,5,5,2,3,0.389,27,3,0,none,1.0,1.0,1.0,T10696,TVB-2640 (Denifanstat),FASN,脂肪酸合酶 beta-酮脂酰还原酶结构域抑制剂，直接阻断棕榈酸从头合成,0.294,无明确优势骨架命中,,,0.0,0.2941,O=C(NCC1CCOCC1)c1cnc(Nc2ccccc2)nc1,0.647
24,T5140,,COC(=O)c1ccc(N2CCN(C)CC2)c(NC(=O)c2cccc(OC)c2)c1,C21H25N3O4,383.45,2.49,71.11,1,6,5,2,3,0.333,28,0,0,none,1.0,1.0,1.0,T3201;T5140,Ranolazine,pFOX / 晚钠电流,部分脂肪酸氧化抑制，改善代谢底物利用,0.215,无明确优势骨架命中,,,0.0,0.2152,O=C(Nc1ccccc1N1CCNCC1)c1ccccc1,0.6076
25,T61989,334668-69-8,O=C(C1CCCCC1)N1CCN(S(=O)(=O)c2cccc(C(F)(F)F)c2)CC1,C18H23F3N2O3S,404.45,3.12,57.69,0,3,3,1,3,0.611,27,3,0,none,1.0,1.0,1.0,T61989,Ervogastat (PF-06865571),DGAT2,口服 DGAT2 抑制剂，降低肝内甘油三酯合成与 VLDL 分泌,0.26,无明确优势骨架命中,,,0.0,0.2603,O=C(C1CCCCC1)N1CCN(S(=O)(=O)c2ccccc2)CC1,0.6302
26,T26630,356102-14-2,COc1ccccc1C=NNC(=O)COc1ccc(Cl)cc1C,C17H17ClN2O3,332.79,3.19,59.92,1,4,6,2,2,0.176,23,1,0,none,1.0,1.0,1.0,T26630,Ranolazine,pFOX / 晚钠电流,部分脂肪酸氧化抑制，改善代谢底物利用,0.28,无明确优势骨架命中,,,0.0,0.28,O=C(COc1ccccc1)NN=Cc1ccccc1,0.64
27,T5056,1188296-52-7,Nc1ncnc2c1c(COc1cccc(Cl)c1)nn2C1CCOCC1,C17H18ClN5O2,359.82,2.99,88.08,1,6,4,3,4,0.353,25,1,0,none,1.0,1.0,1.0,T5056,GW4064,FXR,非甾体高效 FXR 激动剂工具化合物，抑制 DNL 相关转录程序,0.175,无明确优势骨架命中,,,0.0,0.1753,c1ccc(OCc2nn(C3CCOCC3)c3ncncc23)cc1,0.5876
28,T26287,88296-62-2,Cc1cccc(C)c1NC(=O)C1(N(C)C)CCN([C@@H]2CCCC[C@H]2O)CC1,C22H35N3O2,373.54,2.94,55.81,2,4,4,1,3,0.682,27,0,0,none,1.0,1.0,1.0,T26287,Ranolazine,pFOX / 晚钠电流,部分脂肪酸氧化抑制，改善代谢底物利用,0.274,无明确优势骨架命中,,,0.0,0.274,O=C(Nc1ccccc1)C1CCN(C2CCCCC2)CC1,0.637
29,T0214L,112529-15-4,CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1,C19H20N2O3S,356.45,3.16,68.29,1,5,7,2,3,0.316,25,0,0,none,1.0,1.0,1.0,T0214;T0214L,Pioglitazone,PPAR-gamma,噻唑烷二酮胰岛素增敏剂，促进脂肪组织脂质再分布、降低肝细胞脂毒性,1.0,"噻唑烷-2,4-二酮 (TZD)",PPAR-gamma,TZD 酸性头基占据 PPAR-gamma 配体口袋 AF-2 螺旋，改善胰岛素敏感性、促进脂质向脂肪组织再分布，减轻肝细胞脂毒性,0.92,0.964,O=C1NC(=O)C(Cc2ccc(OCCc3ccccn3)cc2)S1,0.982
30,T11005,170569-87-6,NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccccc2)cc1,C16H12F3N3O2S,367.35,3.21,77.98,1,3,3,3,3,0.062,25,3,0,none,1.0,1.0,1.0,T11005,Salicylate,"AMPK (direct, beta1)",直接结合 AMPK beta1 变构位点，抑制脂肪生成,0.167,无明确优势骨架命中,,,0.0,0.1667,c1ccc(-c2ccnn2-c2ccccc2)cc1,0.5834
31,T4244,74805-90-6,Cc1c(O)c(C)c2occ(Cc3ccc4c(c3)OCO4)c(=O)c2c1O,C19H16O6,340.33,3.14,89.13,2,6,2,3,4,0.211,25,0,0,none,1.0,1.0,1.0,T4244,Lanifibranor,PPAR pan (alpha/delta/gamma),泛 PPAR 激动，促进 beta-氧化、抑制脂肪生成与炎症纤维化,0.173,无明确优势骨架命中,,,0.0,0.1733,O=c1c(Cc2ccc3c(c2)OCO3)coc2ccccc12,0.5866
32,TN1527,57906-85-1,COc1cc2c(cc1OC)[C@@H]1Cc3ccc(OC)c(OC)c3C[N+]1([O-])CC2,C21H25NO5,371.43,3.39,59.98,0,5,4,2,4,0.429,27,0,0,none,1.0,1.0,1.0,TN1527,Berberine,AMPK / PCSK9 / LDLR,原小檗碱型生物碱，激活 AMPK 并稳定 LDLR mRNA，HepG2 经典降脂阳性对照,0.239,无明确优势骨架命中,,,0.0,0.2394,c1ccc2c(c1)CC1c3ccccc3CC[NH+]1C2,0.6197
33,TN1346,19716-59-7,COc1cc2c(cc1OC)-c1cc3ccc(OC)c(OC)c3c(=O)n1CC2,C21H21NO5,367.4,3.26,58.92,0,5,4,3,4,0.286,27,0,0,none,1.0,1.0,1.0,TN1346,Berberine,AMPK / PCSK9 / LDLR,原小檗碱型生物碱，激活 AMPK 并稳定 LDLR mRNA，HepG2 经典降脂阳性对照,0.313,无明确优势骨架命中,,,0.0,0.3134,O=c1c2ccccc2cc2n1CCc1ccccc1-2,0.6567
34,T70812,1383376-93-9,CN1Cc2nccc(-c3cn(C)nc3-c3ccc(F)cc3)c2C1=O,C18H15FN4O,322.34,2.87,51.02,0,3,2,3,4,0.167,24,1,0,none,1.0,1.0,1.0,T70812,Atorvastatin,HMGCR,HMG-CoA 还原酶抑制，降低胆固醇合成并上调 LDLR,0.174,哌嗪/哌啶杂芳基甲酰胺,SCD1 / DGAT2,脂质酶抑制剂常见的环胺-酰胺连接模式，倾向作用于 SCD1/DGAT2 等内质网膜结合型脂质合成酶,0.55,0.4219,O=C1NCc2nccc(-c3c[nH]nc3-c3ccccc3)c21,0.711
35,T0173,849-55-8,CC(CCc1ccccc1)NC(C)C(O)c1ccc(O)cc1,C19H25NO2,299.41,3.43,52.49,3,3,7,2,2,0.368,22,0,0,none,1.0,1.0,1.0,T0173,Ezetimibe,NPC1L1,抑制胆固醇再摄取，降低肝内胆固醇酯负荷,0.219,无明确优势骨架命中,,,0.0,0.2188,c1ccc(CCCNCCc2ccccc2)cc1,0.6094
36,T27704,869650-21-5,CC(=O)c1cccc(-c2cnc3ccc(NCC4CC4)nn23)c1,C18H18N4O,306.37,3.42,59.29,1,4,5,3,4,0.278,23,0,0,none,1.0,1.0,1.0,T27704,Ervogastat (PF-06865571),DGAT2,口服 DGAT2 抑制剂，降低肝内甘油三酯合成与 VLDL 分泌,0.198,无明确优势骨架命中,,,0.0,0.1975,c1ccc(-c2cnc3ccc(NCC4CC4)nn23)cc1,0.5988
37,T4S0227,2306-27-6,COc1ccc(-c2cc(=O)c3c(OC)c(OC)c(OC)cc3o2)cc1OC,C20H20O7,372.37,3.5,76.36,0,7,6,3,3,0.25,27,0,0,none,1.0,1.0,1.0,T4S0227,Trimetazidine,3-KAT (长链硫解酶),部分脂肪酸氧化抑制剂，代谢调节剂,0.218,黄酮/黄烷酮母核,AMPK / SREBP-1c,黄酮类多酚激活 AMPK-SIRT1 轴，抑制 SREBP-1c/FAS/ACC 表达并促进脂噬,0.6,0.4882,O=c1cc(-c2ccccc2)oc2ccccc12,0.7441
38,T3119,1802326-66-4,C[C@H](NC(=O)CNC(=O)c1cccc(Cl)c1)c1ccccc1,C17H17ClN2O2,316.79,2.95,58.2,2,2,5,2,2,0.176,22,1,0,none,1.0,1.0,1.0,T3119,Bezafibrate,PPAR pan,泛 PPAR 弱激动剂，降低血浆与肝内甘油三酯,0.266,无明确优势骨架命中,,,0.0,0.2656,O=C(CNC(=O)c1ccccc1)NCc1ccccc1,0.6328
39,T10983L,1831167-98-6,CN1CCN(c2ccc(C(=O)Nc3ccc([C@@H]4C[C@H]4N)cc3)cc2)CC1,C21H26N4O,350.47,2.51,61.6,2,4,4,2,4,0.381,26,0,0,none,1.0,1.0,1.0,T10983L,TVB-2640 (Denifanstat),FASN,脂肪酸合酶 beta-酮脂酰还原酶结构域抑制剂，直接阻断棕榈酸从头合成,0.202,无明确优势骨架命中,,,0.0,0.2024,O=C(Nc1ccc(C2CC2)cc1)c1ccc(N2CCNCC2)cc1,0.6012
40,T16581,62666-20-0,NC(=O)CCCN=C(c1ccc(Cl)cc1)c1cc(F)ccc1O,C17H16ClFN2O2,334.78,3.29,75.68,2,3,6,2,2,0.176,23,2,0,none,1.0,1.0,1.0,T16581,Fenofibric acid,PPAR-alpha,激活 PPAR-alpha 上调 CPT1/ACOX1，增强线粒体与过氧化物酶体脂肪酸氧化,0.22,无明确优势骨架命中,,,0.0,0.2203,N=C(c1ccccc1)c1ccccc1,0.6102
41,T2686,161973-10-0,COc1ccc2[nH]c([S@@](=O)Cc3ncc(C)c(OC)c3C)nc2c1,C17H19N3O3S,345.42,2.9,77.1,1,5,5,3,3,0.294,24,0,0,none,1.0,1.0,1.0,T2686,Ranolazine,pFOX / 晚钠电流,部分脂肪酸氧化抑制，改善代谢底物利用,0.169,无明确优势骨架命中,,,0.0,0.1687,O=S(Cc1ccccn1)c1nc2ccccc2[nH]1,0.5844
42,TN2023,19716-60-0,COc1cc2c(cc1OC)-c1cc3ccc4c(c3c(=O)n1CC2)OCO4,C20H17NO5,351.36,2.97,58.92,0,5,2,3,5,0.25,26,0,0,none,1.0,1.0,1.0,TN2023,Berberine,AMPK / PCSK9 / LDLR,原小檗碱型生物碱，激活 AMPK 并稳定 LDLR mRNA，HepG2 经典降脂阳性对照,0.324,无明确优势骨架命中,,,0.0,0.3239,O=c1c2c3c(ccc2cc2n1CCc1ccccc1-2)OCO3,0.662
43,T40481,385425-03-6,Cc1ccc(-n2cnc(N=CN3CCOCC3)c2C(=O)c2ccccc2)cc1,C22H22N4O2,374.44,3.4,59.72,0,4,5,3,4,0.227,28,0,0,none,1.0,1.0,1.0,T40481,PF-06424439 (DGAT2i),DGAT2,二酰甘油酰基转移酶2 抑制剂，直接阻断甘油三酯酯化终末步骤,0.23,无明确优势骨架命中,,,0.0,0.2297,O=C(c1ccccc1)c1c(N=CN2CCOCC2)ncn1-c1ccccc1,0.6148
44,T207822,1356013-27-8,CC(O)C1CCN(c2ccc(Cl)cc2NC(=O)c2cnn3cccnc23)CC1,C20H22ClN5O2,399.88,3.23,82.76,2,5,4,3,4,0.35,28,1,0,none,1.0,1.0,1.0,T207822,TVB-2640 (Denifanstat),FASN,脂肪酸合酶 beta-酮脂酰还原酶结构域抑制剂，直接阻断棕榈酸从头合成,0.204,无明确优势骨架命中,,,0.0,0.2041,O=C(Nc1ccccc1N1CCCCC1)c1cnn2cccnc12,0.602
45,T22671,519148-48-2,Cc1cn2c(N)c(Cl)cc(C(=O)NCC3CCN(CC(C)C)CC3)c2n1,C19H28ClN5O,377.92,2.98,75.66,2,4,5,2,3,0.579,26,1,0,none,1.0,1.0,1.0,T22671,TVB-2640 (Denifanstat),FASN,脂肪酸合酶 beta-酮脂酰还原酶结构域抑制剂，直接阻断棕榈酸从头合成,0.2,无明确优势骨架命中,,,0.0,0.2,O=C(NCC1CCNCC1)c1cccn2ccnc12,0.6
46,T5183,1311136-84-1,CC[C@H]1NC(=O)N(c2ccc(Oc3ccc(C)c(OC)c3)nc2)C1=O,C18H19N3O4,341.37,3.03,80.76,1,5,5,2,3,0.278,25,0,0,none,1.0,1.0,1.0,T5183,Gemfibrozil,PPAR-alpha,苯氧戊酸类 PPAR-alpha 激动剂，抑制肝脏 VLDL-TG 分泌,0.221,无明确优势骨架命中,,,0.0,0.2206,O=C1CNC(=O)N1c1ccc(Oc2ccccc2)nc1,0.6103
47,T2607,146062-49-9,CCc1ccc(C(=O)COc2ccc(CC3SC(=O)NC3=O)cc2)nc1,C19H18N2O4S,370.43,2.8,85.36,1,6,7,2,3,0.263,26,0,0,none,1.0,1.0,1.0,T2607,Pioglitazone,PPAR-gamma,噻唑烷二酮胰岛素增敏剂，促进脂肪组织脂质再分布、降低肝细胞脂毒性,0.673,"噻唑烷-2,4-二酮 (TZD)",PPAR-gamma,TZD 酸性头基占据 PPAR-gamma 配体口袋 AF-2 螺旋，改善胰岛素敏感性、促进脂质向脂肪组织再分布，减轻肝细胞脂毒性,0.92,0.964,O=C1NC(=O)C(Cc2ccc(OCC(=O)c3ccccn3)cc2)S1,0.982
48,T2599,75444-65-4,Cc1nc2ccccn2c(=O)c1CCN1CCC(C(=O)c2ccc(F)cc2)CC1,C23H24FN3O2,393.46,3.28,54.68,0,4,5,3,4,0.348,29,1,0,none,1.0,1.0,1.0,T2599,Ranolazine,pFOX / 晚钠电流,部分脂肪酸氧化抑制，改善代谢底物利用,0.198,无明确优势骨架命中,,,0.0,0.1977,O=C(c1ccccc1)C1CCN(CCc2cnc3ccccn3c2=O)CC1,0.5988
49,T61191,892772-75-7,O=C(Nc1nccs1)C(c1ccccc1)N1Cc2ccccc2C1=O,C19H15N3O2S,349.42,3.48,62.3,1,4,4,3,4,0.105,25,0,0,none,1.0,1.0,1.0,T61191,Nicotinic acid (Niacin),HCAR2 / DGAT2,抑制脂肪组织脂解并弱抑制 DGAT2，减少肝内 VLDL 底物供应,0.175,哌嗪/哌啶杂芳基甲酰胺,SCD1 / DGAT2,脂质酶抑制剂常见的环胺-酰胺连接模式，倾向作用于 SCD1/DGAT2 等内质网膜结合型脂质合成酶,0.55,0.4229,O=C(Nc1nccs1)C(c1ccccc1)N1Cc2ccccc2C1=O,0.7114
50,TN2148,1245-15-4,COc1cc(O)c2c(=O)c(OC)c(-c3ccc(OC)c(OC)c3)oc2c1,C19H18O7,358.35,3.2,87.36,1,7,5,3,3,0.211,26,0,0,none,1.0,1.0,1.0,TN2148,Trimetazidine,3-KAT (长链硫解酶),部分脂肪酸氧化抑制剂，代谢调节剂,0.197,黄酮/黄烷酮母核,AMPK / SREBP-1c,黄酮类多酚激活 AMPK-SIRT1 轴，抑制 SREBP-1c/FAS/ACC 表达并促进脂噬,0.6,0.4667,O=c1cc(-c2ccccc2)oc2ccccc12,0.7333
51,T10674,908608-06-0,Cc1cc(N2CCOCC2)nc(C)c1NC(=O)OCc1ccccc1,C19H23N3O3,341.41,3.28,63.69,1,5,4,2,3,0.368,25,0,0,none,1.0,1.0,1.0,T10674,TVB-2640 (Denifanstat),FASN,脂肪酸合酶 beta-酮脂酰还原酶结构域抑制剂，直接阻断棕榈酸从头合成,0.241,无明确优势骨架命中,,,0.0,0.2414,O=C(Nc1ccc(N2CCOCC2)nc1)OCc1ccccc1,0.6207
52,T38776,1365060-22-5,O=C(O)CSc1ncnc2c(C3CC3)c(Cl)sc12,C11H9ClN2O2S2,300.79,3.4,63.08,1,5,4,2,3,0.364,18,1,0,none,1.0,1.0,1.0,T38776,GW501516,PPAR-delta,PPAR-delta 选择性激动，提升肝与骨骼肌脂肪酸氧化,0.203,无明确优势骨架命中,,,0.0,0.2025,c1ncc2scc(C3CC3)c2n1,0.6013
53,T5116,36734-19-7,CC(C)NC(=O)N1CC(=O)N(c2cc(Cl)cc(Cl)c2)C1=O,C13H13Cl2N3O3,330.17,2.88,69.72,1,3,2,1,2,0.308,21,2,0,none,1.0,1.0,1.0,T5116,Lanifibranor,PPAR pan (alpha/delta/gamma),泛 PPAR 激动，促进 beta-氧化、抑制脂肪生成与炎症纤维化,0.176,无明确优势骨架命中,,,0.0,0.1765,O=C1CNC(=O)N1c1ccccc1,0.5882
54,T11828,2407782-01-6,COc1ccccc1-c1cc2n(n1)Cc1ccc(NC(C)=O)cc1OC2,C20H19N3O3,349.39,3.46,65.38,1,4,3,3,4,0.2,26,0,0,none,1.0,1.0,1.0,T11828,Ranolazine,pFOX / 晚钠电流,部分脂肪酸氧化抑制，改善代谢底物利用,0.229,无明确优势骨架命中,,,0.0,0.2289,c1ccc(-c2cc3n(n2)Cc2ccccc2OC3)cc1,0.6144
